ID;Cidade;Area;Quartos;Banheiros;Vagas garagem;Aceita Animais;Mobilhado;Valor condomínio;Valor do Aluguel;IPTU;Seguro;Tipo Imóvel;Bairro;;;;;;
0;Jundiaí;240;3;3;4;Sim;Sim;0;8000;1000;121;casa;Pacaembu;;;;;;
1;Jundiaí;64;2;1;1;Sim;Não;540;820;122;11;apartamento;Malota;;;;;;
2;Jundiaí;443;5;5;4;Sim;Sim;4172;7000;1417;89;casa;Colônia;;;;;;
3;Jundiaí;73;2;2;1;Sim;Não;700;1250;150;16;casa;Caxambu;;;;;;
4;Jundiaí;19;1;1;0;Não;Não;0;1200;41;16;casa;Caxambu;;;;;;
5;Jundiaí;13;1;1;0;Sim;Não;0;2200;42;28;apartamento;Nova Odessa;;;;;;
6;Jundiaí;55;1;1;1;Sim;Sim;1950;5000;375;64;apartamento;Anhangabaú;;;;;;
7;Jundiaí;55;2;2;1;Sim;Não;600;1300;67;17;apartamento;Vila Municipal;;;;;;
8;Jundiaí;82;3;1;1;Sim;Sim;828;2000;109;26;casa;Cerâmica Ibetel;;;;;;
9;Jundiaí;32;1;1;1;Sim;Não;533;2900;0;37;apartamento;Nova Odessa;;;;;;
10;Jundiaí;60;1;1;0;Sim;Não;480;720;20;10;casa;Moisés;;;;;;
11;Jundiaí;64;1;2;1;Sim;Sim;406;1550;0;7;apartamento;Ponte São João;;;;;;
12;Jundiaí;20;1;1;0;Sim;Sim;602;1800;130;23;apartamento;Parque do Colégio;;;;;;
13;Jundiaí;375;4;5;5;Sim;Não;4793;15000;2805;191;apartamento;Marco Leite;;;;;;
14;Jundiaí;92;2;1;1;Não;Sim;690;3950;0;51;apartamento;Caxambu;;;;;;
15;Jundiaí;56;2;1;1;Sim;Não;345;950;11;13;casa;Torres São José;;;;;;
16;Jundiaí;188;2;3;8;Sim;Não;0;3010;584;46;casa;São Camilo;;;;;;
17;Jundiaí;100;3;2;1;Sim;Não;0;3500;260;53;casa;Pacaembu;;;;;;
18;Jundiaí;192;3;3;2;Sim;Não;2100;7800;634;99;casa;Samambaia;;;;;;
19;Jundiaí;93;3;2;1;Sim;Não;1497;3500;227;45;apartamento;Vila Municipal;;;;;;
20;Jundiaí;155;3;3;2;Sim;Não;0;2650;233;40;casa;Casa Branca;;;;;;
21;Jundiaí;80;2;2;0;Não;Não;600;2550;46;33;apartamento;Cerâmica Ibetel;;;;;;
22;Jundiaí;65;2;2;2;Não;Não;907;3500;0;45;casa;Fazenda Grande;;;;;;
23;Jundiaí;320;3;3;4;Sim;Não;0;9000;1000;136;apartamento;Centro;;;;;;
24;Jundiaí;180;3;5;3;Sim;Não;2900;8100;0;103;apartamento;Vila Militar;;;;;;
25;Jundiaí;31;1;1;1;Sim;Não;272;3200;64;41;apartamento;Marco Leite;;;;;;
26;Jundiaí;105;4;2;2;Sim;Não;1659;6500;400;83;casa;Torres São José;;;;;;
27;Jundiaí;300;3;4;2;Sim;Sim;2000;14000;1084;178;casa;Gramadão;;;;;;
28;Jundiaí;150;3;2;2;Sim;Não;1370;1800;250;23;apartamento;CECAP;;;;;;
29;Jundiaí;130;3;3;2;Sim;Não;0;6000;84;91;casa;Distrito Industrial;;;;;;
30;Jundiaí;70;2;1;0;Sim;Não;521;3000;50;39;casa;Colônia;;;;;;
31;Jundiaí;120;3;1;4;Sim;Não;0;3500;234;53;apartamento;Jundiaí Mirim;;;;;;
32;Jundiaí;250;3;4;2;Sim;Não;300;3480;360;53;apartamento;Agapeama;;;;;;
33;Jundiaí;50;1;1;0;Sim;Não;325;1550;25;20;casa;Novo Horizonte;;;;;;
34;Jundiaí;240;3;3;3;Sim;Não;4132;3800;952;49;apartamento;Casa Branca;;;;;;
35;Jundiaí;250;4;4;2;Não;Não;0;6600;0;100;casa;Vila Rio Branco;;;;;;
36;Jundiaí;94;3;3;2;Sim;Não;750;2200;192;28;apartamento;Vila Municipal;;;;;;
37;Jundiaí;176;3;4;3;Sim;Não;1600;6500;775;83;casa;Caxambu;;;;;;
38;Jundiaí;180;3;4;5;Sim;Não;0;3300;266;50;apartamento;Currupira;;;;;;
39;Jundiaí;191;3;3;4;Sim;Sim;2605;15000;1299;191;apartamento;Medeiros;;;;;;
40;Jundiaí;25;1;1;0;Sim;Não;257;1698;0;22;apartamento;Nova Odessa;;;;;;
41;Jundiaí;800;4;5;4;Sim;Não;6000;15000;3334;191;casa;Moisés;;;;;;
42;Jundiaí;340;3;4;3;Sim;Sim;0;9800;392;148;casa;Vila Arens / Vila Progresso;;;;;;
43;Jundiaí;90;2;1;0;Não;Não;0;1450;50;22;casa;Pacaembu;;;;;;
44;Jundiaí;650;5;4;8;Sim;Sim;0;8500;442;128;casa;Aeroporto;;;;;;
45;Jundiaí;100;2;2;0;Sim;Não;0;2700;265;35;apartamento;Vila Arens / Vila Progresso;;;;;;
46;Jundiaí;230;4;4;4;Sim;Sim;2300;13500;1084;172;casa;Vila Municipal;;;;;;
47;Jundiaí;190;2;3;2;Sim;Não;0;13050;1284;197;casa;Engordadouro;;;;;;
48;Jundiaí;205;4;4;6;Sim;Não;2450;2720;959;35;casa;Vila Arens / Vila Progresso;;;;;;
49;Jundiaí;96;3;3;2;Sim;Não;866;1790;90;23;casa;Medeiros;;;;;;
50;Jundiaí;396;4;4;4;Sim;Não;0;10000;750;151;casa;Samambaia;;;;;;
51;Jundiaí;74;3;2;1;Sim;Não;650;1600;250;21;apartamento;Samambaia;;;;;;
52;Jundiaí;30;1;1;0;Não;Sim;380;500;10;7;apartamento;São Camilo;;;;;;
53;Jundiaí;64;3;2;1;Sim;Não;522;1400;65;18;apartamento;Caxambu;;;;;;
54;Jundiaí;105;3;2;2;Sim;Sim;1544;7800;488;99;casa;Casa Branca;;;;;;
55;Jundiaí;50;1;2;1;Sim;Sim;1050;5900;259;75;apartamento;Torres São José;;;;;;
56;Jundiaí;60;2;1;0;Não;Não;400;1300;0;17;casa;Parque Centenário;;;;;;
57;Jundiaí;50;2;1;1;Sim;Sim;585;2000;49;26;casa;Moisés;;;;;;
58;Jundiaí;90;2;2;0;Sim;Não;0;1700;38;26;casa;Jardim Ermida II;;;;;;
59;Jundiaí;130;3;2;1;Não;Sim;1200;7500;417;96;apartamento;Caxambu;;;;;;
60;Jundiaí;20;1;1;0;Não;Sim;0;1950;0;25;casa;Jundiaí Mirim;;;;;;
61;Jundiaí;400;4;3;2;Sim;Não;0;5650;338;85;casa;Currupira;;;;;;
62;Jundiaí;220;3;3;5;Sim;Não;0;7500;0;113;casa;Colônia;;;;;;
63;Jundiaí;750;7;6;5;Sim;Sim;0;5800;559;88;apartamento;CECAP;;;;;;
64;Jundiaí;20;1;1;0;Sim;Sim;602;1800;130;23;casa;Vila Rio Branco;;;;;;
65;Jundiaí;140;3;2;2;Não;Não;998;2100;283;27;apartamento;Caxambu;;;;;;
66;Jundiaí;22;1;1;0;Não;Não;250;1080;14;14;casa;Novo Horizonte;;;;;;
67;Jundiaí;345;2;3;2;Não;Não;3655;12000;783;153;apartamento;Parque do Colégio;;;;;;
68;Jundiaí;46;2;1;1;Não;Não;250;1100;53;5;casa;Tulipas;;;;;;
69;Jundiaí;35;1;1;1;Não;Sim;550;3250;30;42;apartamento;Samambaia;;;;;;
