ID,Cidade,Area,Quartos,Banheiros,Vagas garagem,Aceita Animais,Mobilhado,Valor condomínio,Valor do Aluguel,IPTU,Seguro,Tipo Imóvel,Bairro,Estado,Custo_Mensal,Preco_m2,Categoria_Preco
0,Jundiaí,240,3,3,4,Sim,Sim,0.0,8000.0,1000.0,121.0,Casa,Pacaembu,Disponível,9121.0,33.333333333333336,4. Luxo/Premium (Q4)
1,Jundiaí,64,2,1,1,Sim,Não,540.0,820.0,122.0,11.0,Apartamento,Malota,Locado,1493.0,12.8125,1. Econômico (Q1)
2,Jundiaí,443,5,5,4,Sim,Sim,4172.0,7000.0,1417.0,89.0,Casa,Colônia,Locado,12678.0,15.801354401805868,4. Luxo/Premium (Q4)
3,Jundiaí,73,2,2,1,Sim,Não,700.0,1250.0,150.0,16.0,Casa,Caxambu,Disponível,2116.0,17.123287671232877,1. Econômico (Q1)
4,Jundiaí,19,1,1,0,Não,Não,0.0,1200.0,41.0,16.0,Casa,Caxambu,Disponível,1257.0,63.1578947368421,1. Econômico (Q1)
5,Jundiaí,13,1,1,0,Sim,Não,0.0,2200.0,42.0,28.0,Apartamento,Nova Odessa,Disponível,2270.0,169.23076923076923,2. Médio Padrão (Q2)
6,Jundiaí,55,1,1,1,Sim,Sim,1950.0,5000.0,375.0,64.0,Apartamento,Anhangabaú,Disponível,7389.0,90.9090909090909,3. Alto Padrão (Q3)
7,Jundiaí,55,2,2,1,Sim,Não,600.0,1300.0,67.0,17.0,Apartamento,Vila Municipal,Locado,1984.0,23.636363636363637,1. Econômico (Q1)
8,Jundiaí,82,3,1,1,Sim,Sim,828.0,2000.0,109.0,26.0,Casa,Cerâmica Ibetel,Disponível,2963.0,24.390243902439025,2. Médio Padrão (Q2)
9,Jundiaí,32,1,1,1,Sim,Não,533.0,2900.0,0.0,37.0,Apartamento,Nova Odessa,Locado,3470.0,90.625,2. Médio Padrão (Q2)
10,Jundiaí,60,1,1,0,Sim,Não,480.0,720.0,20.0,10.0,Casa,Moisés,Disponível,1230.0,12.0,1. Econômico (Q1)
11,Jundiaí,64,1,2,1,Sim,Sim,406.0,1550.0,0.0,7.0,Apartamento,Ponte São João,Disponível,1963.0,24.21875,1. Econômico (Q1)
12,Jundiaí,20,1,1,0,Sim,Sim,602.0,1800.0,130.0,23.0,Apartamento,Parque Do Colégio,Locado,2555.0,90.0,1. Econômico (Q1)
13,Jundiaí,375,4,5,5,Sim,Não,4793.0,15000.0,2805.0,191.0,Apartamento,Marco Leite,Locado,22789.0,40.0,4. Luxo/Premium (Q4)
14,Jundiaí,92,2,1,1,Não,Sim,690.0,3950.0,0.0,51.0,Apartamento,Caxambu,Disponível,4691.0,42.93478260869565,3. Alto Padrão (Q3)
15,Jundiaí,56,2,1,1,Sim,Não,345.0,950.0,11.0,13.0,Casa,Torres São José,Disponível,1319.0,16.964285714285715,1. Econômico (Q1)
16,Jundiaí,188,2,3,8,Sim,Não,0.0,3010.0,584.0,46.0,Casa,São Camilo,Disponível,3640.0,16.01063829787234,2. Médio Padrão (Q2)
17,Jundiaí,100,3,2,1,Sim,Não,0.0,3500.0,260.0,53.0,Casa,Pacaembu,Locado,3813.0,35.0,3. Alto Padrão (Q3)
18,Jundiaí,192,3,3,2,Sim,Não,2100.0,7800.0,634.0,99.0,Casa,Samambaia,Disponível,10633.0,40.625,4. Luxo/Premium (Q4)
19,Jundiaí,93,3,2,1,Sim,Não,1497.0,3500.0,227.0,45.0,Apartamento,Vila Municipal,Disponível,5269.0,37.634408602150536,3. Alto Padrão (Q3)
20,Jundiaí,155,3,3,2,Sim,Não,0.0,2650.0,233.0,40.0,Casa,Casa Branca,Disponível,2923.0,17.096774193548388,2. Médio Padrão (Q2)
21,Jundiaí,80,2,2,0,Não,Não,600.0,2550.0,46.0,33.0,Apartamento,Cerâmica Ibetel,Disponível,3229.0,31.875,2. Médio Padrão (Q2)
22,Jundiaí,65,2,2,2,Não,Não,907.0,3500.0,0.0,45.0,Casa,Fazenda Grande,Disponível,4452.0,53.84615384615385,3. Alto Padrão (Q3)
23,Jundiaí,320,3,3,4,Sim,Não,0.0,9000.0,1000.0,136.0,Apartamento,Centro,Locado,10136.0,28.125,4. Luxo/Premium (Q4)
24,Jundiaí,180,3,5,3,Sim,Não,2900.0,8100.0,0.0,103.0,Apartamento,Vila Militar,Disponível,11103.0,45.0,4. Luxo/Premium (Q4)
25,Jundiaí,31,1,1,1,Sim,Não,272.0,3200.0,64.0,41.0,Apartamento,Marco Leite,Locado,3577.0,103.2258064516129,3. Alto Padrão (Q3)
26,Jundiaí,105,4,2,2,Sim,Não,1659.0,6500.0,400.0,83.0,Casa,Torres São José,Locado,8642.0,61.904761904761905,4. Luxo/Premium (Q4)
27,Jundiaí,300,3,4,2,Sim,Sim,2000.0,14000.0,1084.0,178.0,Casa,Gramadão,Disponível,17262.0,46.666666666666664,4. Luxo/Premium (Q4)
28,Jundiaí,150,3,2,2,Sim,Não,1370.0,1800.0,250.0,23.0,Apartamento,Cecap,Disponível,3443.0,12.0,1. Econômico (Q1)
29,Jundiaí,130,3,3,2,Sim,Não,0.0,6000.0,84.0,91.0,Casa,Distrito Industrial,Locado,6175.0,46.15384615384615,4. Luxo/Premium (Q4)
