ID;Cidade;Area;Quartos;Banheiros;Vagas garagem;Aceita Animais;Mobilhado;Valor condomínio;Valor do Aluguel;IPTU;Seguro;Tipo Imóvel;Bairro;Estado;;;;;
0;Jundiaí;240;3;3;4;Sim;Sim;0;8000;1000;121;Casa;Pacaembu;Disponível;;;;;
1;Jundiaí;64;2;1;1;Sim;Não;540;820;122;11;Apartamento;Malota;Locado;;;;;
2;Jundiaí;443;5;5;4;Sim;Sim;4172;7000;1417;89;Casa;Colônia;Locado;;;;;
3;Jundiaí;73;2;2;1;Sim;Não;700;1250;150;16;Casa;Caxambu;Disponível;;;;;
4;Jundiaí;19;1;1;0;Não;Não;0;1200;41;16;Casa;Caxambu;Disponível;;;;;
5;Jundiaí;13;1;1;0;Sim;Não;0;2200;42;28;Apartamento;Nova Odessa;Disponível;;;;;
6;Jundiaí;55;1;1;1;Sim;Sim;1950;5000;375;64;Apartamento;Anhangabaú;Disponível;;;;;
7;Jundiaí;55;2;2;1;Sim;Não;600;1300;67;17;Apartamento;Vila Municipal;Locado;;;;;
8;Jundiaí;82;3;1;1;Sim;Sim;828;2000;109;26;Casa;Cerâmica Ibetel;Disponível;;;;;
9;Jundiaí;32;1;1;1;Sim;Não;533;2900;0;37;Apartamento;Nova Odessa;Locado;;;;;
10;Jundiaí;60;1;1;0;Sim;Não;480;720;20;10;Casa;Moisés;Disponível;;;;;
11;Jundiaí;64;1;2;1;Sim;Sim;406;1550;0;7;Apartamento;Ponte São João;Disponível;;;;;
12;Jundiaí;20;1;1;0;Sim;Sim;602;1800;130;23;Apartamento;Parque Do Colégio;Locado;;;;;
13;Jundiaí;375;4;5;5;Sim;Não;4793;15000;2805;191;Apartamento;Marco Leite;Locado;;;;;
14;Jundiaí;92;2;1;1;Não;Sim;690;3950;0;51;Apartamento;Caxambu;Disponível;;;;;
15;Jundiaí;56;2;1;1;Sim;Não;345;950;11;13;Casa;Torres São José;Disponível;;;;;
16;Jundiaí;188;2;3;8;Sim;Não;0;3010;584;46;Casa;São Camilo;Disponível;;;;;
17;Jundiaí;100;3;2;1;Sim;Não;0;3500;260;53;Casa;Pacaembu;Locado;;;;;
18;Jundiaí;192;3;3;2;Sim;Não;2100;7800;634;99;Casa;Samambaia;Disponível;;;;;
19;Jundiaí;93;3;2;1;Sim;Não;1497;3500;227;45;Apartamento;Vila Municipal;Disponível;;;;;
20;Jundiaí;155;3;3;2;Sim;Não;0;2650;233;40;Casa;Casa Branca;Disponível;;;;;
21;Jundiaí;80;2;2;0;Não;Não;600;2550;46;33;Apartamento;Cerâmica Ibetel;Disponível;;;;;
22;Jundiaí;65;2;2;2;Não;Não;907;3500;0;45;Casa;Fazenda Grande;Disponível;;;;;
23;Jundiaí;320;3;3;4;Sim;Não;0;9000;1000;136;Apartamento;Centro;Locado;;;;;
24;Jundiaí;180;3;5;3;Sim;Não;2900;8100;0;103;Apartamento;Vila Militar;Disponível;;;;;
25;Jundiaí;31;1;1;1;Sim;Não;272;3200;64;41;Apartamento;Marco Leite;Locado;;;;;
26;Jundiaí;105;4;2;2;Sim;Não;1659;6500;400;83;Casa;Torres São José;Locado;;;;;
27;Jundiaí;300;3;4;2;Sim;Sim;2000;14000;1084;178;Casa;Gramadão;Disponível;;;;;
28;Jundiaí;150;3;2;2;Sim;Não;1370;1800;250;23;Apartamento;Cecap;Disponível;;;;;
29;Jundiaí;130;3;3;2;Sim;Não;0;6000;84;91;Casa;Distrito Industrial;Locado;;;;;
30;Jundiaí;70;2;1;0;Sim;Não;521;3000;50;39;Casa;Colônia;Disponível;;;;;
31;Jundiaí;120;3;1;4;Sim;Não;0;3500;234;53;Apartamento;Jundiaí Mirim;Locado;;;;;
32;Jundiaí;250;3;4;2;Sim;Não;300;3480;360;53;Apartamento;Agapeama;Locado;;;;;
33;Jundiaí;50;1;1;0;Sim;Não;325;1550;25;20;Casa;Novo Horizonte;Locado;;;;;
34;Jundiaí;240;3;3;3;Sim;Não;4132;3800;952;49;Apartamento;Casa Branca;Disponível;;;;;
35;Jundiaí;250;4;4;2;Não;Não;0;6600;0;100;Casa;Vila Rio Branco;Locado;;;;;
36;Jundiaí;94;3;3;2;Sim;Não;750;2200;192;28;Apartamento;Vila Municipal;Disponível;;;;;
37;Jundiaí;176;3;4;3;Sim;Não;1600;6500;775;83;Casa;Caxambu;Disponível;;;;;
38;Jundiaí;180;3;4;5;Sim;Não;0;3300;266;50;Apartamento;Currupira;Disponível;;;;;
39;Jundiaí;191;3;3;4;Sim;Sim;2605;15000;1299;191;Apartamento;Medeiros;Locado;;;;;
40;Jundiaí;25;1;1;0;Sim;Não;257;1698;0;22;Apartamento;Nova Odessa;Disponível;;;;;
41;Jundiaí;800;4;5;4;Sim;Não;6000;15000;3334;191;Casa;Moisés;Disponível;;;;;
42;Jundiaí;340;3;4;3;Sim;Sim;0;9800;392;148;Casa;Vila Arens / Vila Progresso;Locado;;;;;
43;Jundiaí;90;2;1;0;Não;Não;0;1450;50;22;Casa;Pacaembu;Disponível;;;;;
44;Jundiaí;650;5;4;8;Sim;Sim;0;8500;442;128;Casa;Aeroporto;Disponível;;;;;
45;Jundiaí;100;2;2;0;Sim;Não;0;2700;265;35;Apartamento;Vila Arens / Vila Progresso;Disponível;;;;;
46;Jundiaí;230;4;4;4;Sim;Sim;2300;13500;1084;172;Casa;Vila Municipal;Disponível;;;;;
47;Jundiaí;190;2;3;2;Sim;Não;0;13050;1284;197;Casa;Engordadouro;Locado;;;;;
48;Jundiaí;205;4;4;6;Sim;Não;2450;2720;959;35;Casa;Vila Arens / Vila Progresso;Disponível;;;;;
49;Jundiaí;96;3;3;2;Sim;Não;866;1790;90;23;Casa;Medeiros;Locado;;;;;
50;Jundiaí;396;4;4;4;Sim;Não;0;10000;750;151;Casa;Samambaia;Locado;;;;;
51;Jundiaí;74;3;2;1;Sim;Não;650;1600;250;21;Apartamento;Samambaia;Locado;;;;;
52;Jundiaí;30;1;1;0;Não;Sim;380;500;10;7;Apartamento;São Camilo;Disponível;;;;;
53;Jundiaí;64;3;2;1;Sim;Não;522;1400;65;18;Apartamento;Caxambu;Disponível;;;;;
54;Jundiaí;105;3;2;2;Sim;Sim;1544;7800;488;99;Casa;Casa Branca;Locado;;;;;
55;Jundiaí;50;1;2;1;Sim;Sim;1050;5900;259;75;Apartamento;Torres São José;Disponível;;;;;
56;Jundiaí;60;2;1;0;Não;Não;400;1300;0;17;Casa;Parque Centenário;Disponível;;;;;
57;Jundiaí;50;2;1;1;Sim;Sim;585;2000;49;26;Casa;Moisés;Locado;;;;;
58;Jundiaí;90;2;2;0;Sim;Não;0;1700;38;26;Casa;Jardim Ermida Ii;Disponível;;;;;
59;Jundiaí;130;3;2;1;Não;Sim;1200;7500;417;96;Apartamento;Caxambu;Locado;;;;;
